id,timestamp,bpm,spo2,temperature,humidity,ax,ay,az,latitude,longitude
1,2026-06-12 03:59:32,0.0,0.0,31.4,63.1,2188,-176,16136,0.0,0.0
2,2026-06-12 03:59:37,0.0,0.0,31.4,63.1,2204,-112,15996,0.0,0.0
3,2026-06-12 03:59:42,0.0,0.0,31.4,63.1,2196,-4,16192,0.0,0.0
4,2026-06-12 03:59:47,0.0,0.0,31.4,63.0,2184,-120,16068,0.0,0.0
5,2026-06-12 03:59:52,0.0,0.0,31.4,63.2,2160,-88,16060,0.0,0.0
6,2026-06-12 03:59:57,0.0,0.0,31.4,62.9,2176,-108,16052,0.0,0.0
7,2026-06-12 04:00:02,0.0,0.0,31.4,63.1,2084,-136,15896,0.0,0.0
8,2026-06-12 04:00:07,0.0,0.0,31.4,63.0,2216,-192,16016,0.0,0.0
9,2026-06-12 04:00:12,0.0,0.0,31.5,62.9,2212,-112,16100,0.0,0.0
10,2026-06-12 04:00:17,0.0,0.0,31.5,62.8,2156,-72,16156,0.0,0.0
11,2026-06-12 04:00:22,0.0,0.0,31.5,62.9,2020,-100,15852,0.0,0.0
12,2026-06-12 04:00:27,0.0,0.0,31.5,62.9,2104,-160,15980,0.0,0.0
13,2026-06-12 04:00:32,0.0,0.0,31.5,63.1,2212,-92,16092,0.0,0.0
14,2026-06-12 04:00:37,0.0,0.0,31.5,62.8,2188,-136,16136,0.0,0.0
15,2026-06-12 04:00:42,0.0,0.0,31.5,62.7,2144,-168,15984,0.0,0.0
16,2026-06-12 04:00:47,0.0,0.0,31.6,62.7,2108,-164,16052,0.0,0.0
17,2026-06-12 04:00:52,0.0,0.0,31.5,62.8,2112,-160,16044,0.0,0.0
18,2026-06-12 04:00:57,0.0,0.0,31.6,62.7,2248,-164,16160,0.0,0.0
19,2026-06-12 04:05:23,0.0,0.0,31.7,62.1,2176,-24,16144,0.0,0.0
20,2026-06-12 04:05:28,0.0,0.0,31.7,62.2,2264,72,16072,0.0,0.0
21,2026-06-12 04:05:33,0.0,0.0,31.7,62.2,2176,0,16012,0.0,0.0
22,2026-06-12 04:05:38,0.0,42.5,31.7,61.9,2056,60,16036,0.0,0.0
23,2026-06-12 04:05:43,0.0,75.8,31.7,62.0,2140,80,16120,0.0,0.0
24,2026-06-12 04:05:48,0.0,27.8,31.7,61.9,2104,24,16092,0.0,0.0
25,2026-06-12 04:05:53,0.0,73.5,31.7,62.1,2124,92,15944,0.0,0.0
26,2026-06-12 04:05:58,0.0,83.9,31.7,61.7,2152,112,15992,0.0,0.0
27,2026-06-12 04:06:03,0.0,91.3,31.7,62.0,2200,72,16100,0.0,0.0
28,2026-06-12 04:06:08,0.0,91.9,31.7,61.9,2068,96,16204,0.0,0.0
29,2026-06-12 04:06:13,0.0,94.4,31.8,61.8,2048,92,16052,0.0,0.0
30,2026-06-12 04:27:08,0.0,0.0,31.5,63.0,2192,-12,15968,0.0,0.0
31,2026-06-12 04:27:13,0.0,0.0,31.5,62.9,2048,-40,16192,0.0,0.0
32,2026-06-12 04:27:18,0.0,0.0,31.5,62.7,2136,-68,16016,0.0,0.0
33,2026-06-12 04:27:23,0.0,0.0,31.5,62.7,2028,-108,16008,0.0,0.0
34,2026-06-12 04:27:28,0.0,0.0,31.5,62.7,2128,-8,16144,0.0,0.0
35,2026-06-12 04:27:33,0.0,0.0,31.6,62.8,2104,-56,16092,0.0,0.0
36,2026-06-12 04:27:38,0.0,0.0,31.5,62.6,2112,-28,16068,0.0,0.0
37,2026-06-12 04:27:43,0.0,0.0,31.6,62.7,2200,-24,16080,0.0,0.0
38,2026-06-12 04:27:48,0.0,0.0,31.6,62.6,2064,-128,16024,0.0,0.0
39,2026-06-12 04:27:53,0.0,0.0,31.6,62.6,1988,-36,16072,0.0,0.0
40,2026-06-12 04:27:58,0.0,0.0,31.6,62.6,2068,-144,16052,0.0,0.0
41,2026-06-12 04:28:03,0.0,0.0,31.6,62.5,2192,16,16140,0.0,0.0
42,2026-06-12 04:28:08,0.0,0.0,31.6,62.6,2128,-36,16212,0.0,0.0
43,2026-06-12 04:28:13,0.0,0.0,31.6,62.5,2160,-68,16092,0.0,0.0
44,2026-06-12 04:28:18,0.0,0.0,31.6,62.5,2156,-32,16128,0.0,0.0
45,2026-06-12 07:11:10,0.0,0.0,31.1,65.9,2168,-144,16000,0.0,0.0
